district,year,catch
Afognak,1993,25640
Afognak,1994,56106
Afognak,1995,174985
Afognak,1996,198300
Afognak,1997,108249
Afognak,1998,34970
Afognak,1999,35038
Afognak,2000,58956
Afognak,2001,33168
Afognak,2002,53889
Afognak,2003,24451
Afognak,2004,38021
Afognak,2005,32855
Afognak,2006,31888
Afognak,2007,40234
Afognak,2008,35055
Afognak,2009,35357
Afognak,2010,35363
Afognak,2011,36234
Afognak,2012,23207
Afognak,2013,32122
Afognak,2014,28963
Afognak,2015,33740
Afognak,2016,31462
Afognak,2017,28399
Afognak,2018,31271
Afognak,2019,29776
Eastside,1993,54428
Eastside,1994,35831
Eastside,1995,69886
Eastside,1996,38836
Eastside,1997,31856
Eastside,1998,35795
Eastside,1999,37261
Eastside,2000,46915
Eastside,2001,42972
Eastside,2002,34840
Eastside,2003,21369
Eastside,2004,30992
Eastside,2005,34354
Eastside,2006,54819
Eastside,2007,38335
Eastside,2008,41598
Eastside,2009,34563
Eastside,2010,37369
Eastside,2011,41669
Eastside,2012,56997
Eastside,2013,38863
Eastside,2014,45734
Eastside,2015,34773
Eastside,2016,56944
Eastside,2017,32004
Eastside,2018,31882
Eastside,2019,32251
Northeast,1993,15637
Northeast,1994,26228
Northeast,1995,35825
Northeast,1996,21145
Northeast,1997,34688
Northeast,1998,35033
Northeast,1999,19160
Northeast,2000,29844
Northeast,2001,23890
Northeast,2002,39843
Northeast,2003,24613
Northeast,2004,22659
Northeast,2005,20611
Northeast,2006,27688
Northeast,2007,24218
Northeast,2008,20086
Northeast,2009,19271
Northeast,2010,19546
Northeast,2011,22072
Northeast,2012,17308
Northeast,2013,23745
Northeast,2014,17462
Northeast,2015,21485
Northeast,2016,28912
Northeast,2017,19356
Northeast,2018,18844
Northeast,2019,20087
Southeast,1993,11870
Southeast,1994,7909
Southeast,1995,25181
Southeast,1996,34444
Southeast,1997,47507
Southeast,1998,42729
Southeast,1999,38889
Southeast,2000,73228
Southeast,2001,56168
Southeast,2002,29123
Southeast,2003,14861
Southeast,2004,32019
Southeast,2005,28030
Southeast,2006,24905
Southeast,2007,39636
Southeast,2008,29184
Southeast,2009,17001
Southeast,2010,20023
Southeast,2011,32575
Southeast,2012,11269
Southeast,2013,48007
Southeast,2014,31574
Southeast,2015,27259
Southeast,2016,33914
Southeast,2017,30388
Southeast,2018,30206
Southeast,2019,30466
