year,age,count,fishery
1993,7,1,comm
1993,8,7,comm
1993,9,5,comm
1993,10,1,comm
1993,11,6,comm
1993,12,7,comm
1993,13,3,comm
1993,14,19,comm
1993,15,1,comm
1993,16,1,comm
1993,17,1,comm
1993,26,1,comm
1993,31,1,comm
1993,34,1,comm
1994,8,8,comm
1994,9,26,comm
1994,10,4,comm
1994,11,1,comm
1994,12,4,comm
1994,13,6,comm
1994,14,1,comm
1994,15,6,comm
1994,17,1,comm
1994,18,2,comm
1994,21,1,comm
1994,26,1,comm
1995,5,1,comm
1995,6,1,comm
1995,9,7,comm
1995,10,30,comm
1995,11,9,comm
1995,12,1,comm
1995,13,1,comm
1995,14,7,comm
1995,16,11,comm
1995,19,2,comm
1995,21,1,comm
1995,33,1,comm
1996,6,4,comm
1996,8,1,comm
1996,10,10,comm
1996,11,5,comm
1996,12,2,comm
1996,14,3,comm
1996,15,3,comm
1996,16,1,comm
1996,17,10,comm
1996,31,1,comm
1997,6,10,comm
1997,7,58,comm
1997,8,7,comm
1997,9,2,comm
1997,10,1,comm
1997,11,35,comm
1997,12,59,comm
1997,13,30,comm
1997,14,6,comm
1997,15,14,comm
1997,16,21,comm
1997,17,4,comm
1997,18,20,comm
1997,19,3,comm
1997,20,1,comm
1997,21,5,comm
1997,22,2,comm
1997,30,1,comm
1997,34,1,comm
1997,35,1,comm
1998,6,10,comm
1998,7,72,comm
1998,8,108,comm
1998,9,5,comm
1998,10,4,comm
1998,11,3,comm
1998,12,27,comm
1998,13,16,comm
1998,14,9,comm
1998,15,8,comm
1998,16,7,comm
1998,17,3,comm
1998,18,1,comm
1998,19,6,comm
1998,21,3,comm
1998,22,3,comm
1998,23,2,comm
1999,5,1,comm
1999,6,3,comm
1999,7,20,comm
1999,8,99,comm
1999,9,125,comm
1999,10,7,comm
1999,11,7,comm
1999,12,1,comm
1999,13,7,comm
1999,14,4,comm
1999,15,1,comm
1999,17,3,comm
1999,18,1,comm
1999,19,1,comm
1999,20,3,comm
1999,22,1,comm
1999,23,4,comm
1999,24,1,comm
1999,28,1,comm
1999,33,1,comm
2000,6,4,comm
2000,7,4,comm
2000,8,34,comm
2000,9,144,comm
2000,10,84,comm
2000,11,6,comm
2000,12,4,comm
2000,13,5,comm
2000,14,5,comm
2000,15,4,comm
2000,16,1,comm
2000,18,3,comm
2000,19,3,comm
2000,20,1,comm
2000,21,9,comm
2000,23,1,comm
2000,24,1,comm
2000,25,4,comm
2000,26,1,comm
2000,28,1,comm
2001,5,7,comm
2001,6,1,comm
2001,7,10,comm
2001,8,20,comm
2001,9,25,comm
2001,10,179,comm
2001,11,184,comm
2001,12,22,comm
2001,13,2,comm
2001,14,2,comm
2001,15,12,comm
2001,16,5,comm
2001,17,2,comm
2001,18,2,comm
2001,19,2,comm
2001,20,5,comm
2001,21,2,comm
2001,22,37,comm
2001,25,2,comm
2001,26,2,comm
2001,29,1,comm
2001,33,1,comm
2001,36,1,comm
2002,5,3,comm
2002,6,29,comm
2002,7,11,comm
2002,8,31,comm
2002,9,33,comm
2002,10,49,comm
2002,11,136,comm
2002,12,65,comm
2002,13,8,comm
2002,14,2,comm
2002,15,2,comm
2002,16,5,comm
2002,17,1,comm
2002,19,1,comm
2002,20,2,comm
2002,21,2,comm
2002,23,12,comm
2002,25,1,comm
2002,26,1,comm
2002,34,1,comm
2003,6,3,comm
2003,7,62,comm
2003,8,7,comm
2003,9,16,comm
2003,10,12,comm
2003,11,3,comm
2003,12,24,comm
2003,13,18,comm
2003,14,4,comm
2003,15,1,comm
2003,18,1,comm
2003,20,1,comm
2003,24,1,comm
2003,27,1,comm
2004,6,2,comm
2004,7,15,comm
2004,8,109,comm
2004,9,5,comm
2004,10,10,comm
2004,11,13,comm
2004,12,7,comm
2004,13,34,comm
2004,14,15,comm
2004,15,4,comm
2004,18,3,comm
2004,22,1,comm
2004,23,1,comm
2004,25,3,comm
2005,6,2,comm
2005,7,2,comm
2005,8,27,comm
2005,9,96,comm
2005,10,1,comm
2005,11,8,comm
2005,12,5,comm
2005,13,9,comm
2005,14,34,comm
2005,15,8,comm
2005,16,1,comm
2005,19,1,comm
2005,20,2,comm
2005,28,1,comm
2005,31,1,comm
2006,6,1,comm
2006,8,6,comm
2006,9,20,comm
2006,10,25,comm
2006,11,2,comm
2006,12,5,comm
2006,13,1,comm
2006,14,2,comm
2006,15,14,comm
2006,16,1,comm
2006,19,1,comm
2006,20,1,comm
2007,5,1,comm
2007,6,4,comm
2007,7,6,comm
2007,9,6,comm
2007,10,41,comm
2007,11,124,comm
2007,12,7,comm
2007,13,8,comm
2007,14,7,comm
2007,15,5,comm
2007,16,18,comm
2007,17,3,comm
2007,18,1,comm
2007,21,1,comm
2007,23,1,comm
2007,24,1,comm
2007,28,2,comm
2008,6,7,comm
2008,7,13,comm
2008,8,17,comm
2008,10,22,comm
2008,11,91,comm
2008,12,117,comm
2008,13,9,comm
2008,14,12,comm
2008,15,6,comm
2008,16,7,comm
2008,17,19,comm
2008,18,4,comm
2008,19,2,comm
2008,21,1,comm
2008,29,1,comm
2008,32,1,comm
2009,5,1,comm
2009,6,2,comm
2009,7,49,comm
2009,8,51,comm
2009,9,10,comm
2009,10,1,comm
2009,11,21,comm
2009,12,96,comm
2009,13,81,comm
2009,14,9,comm
2009,15,8,comm
2009,16,3,comm
2009,17,6,comm
2009,18,23,comm
2009,19,5,comm
2009,30,4,comm
2009,33,1,comm
2009,42,1,comm
2010,6,2,comm
2010,7,6,comm
2010,8,116,comm
2010,9,36,comm
2010,10,6,comm
2010,12,12,comm
2010,13,41,comm
2010,14,31,comm
2010,15,4,comm
2010,16,9,comm
2010,17,3,comm
2010,18,4,comm
2010,19,7,comm
2010,20,2,comm
2010,22,1,comm
2010,25,1,comm
2010,29,1,comm
2010,32,1,comm
2011,6,4,comm
2011,7,10,comm
2011,8,2,comm
2011,9,95,comm
2011,10,21,comm
2011,11,9,comm
2011,13,8,comm
2011,14,18,comm
2011,15,20,comm
2011,16,1,comm
2011,17,3,comm
2011,18,4,comm
2011,20,7,comm
2011,21,6,comm
2011,24,1,comm
2011,26,2,comm
2011,27,2,comm
2011,28,1,comm
2011,29,1,comm
2011,30,6,comm
2011,31,5,comm
2011,32,18,comm
2011,33,2,comm
2011,34,3,comm
2011,35,4,comm
2011,36,1,comm
2011,38,1,comm
2011,41,1,comm
2012,8,24,comm
2012,9,14,comm
2012,10,105,comm
2012,11,29,comm
2012,12,18,comm
2012,13,1,comm
2012,14,1,comm
2012,15,19,comm
2012,16,13,comm
2012,17,2,comm
2012,18,1,comm
2012,19,2,comm
2012,20,2,comm
2012,21,6,comm
2012,22,3,comm
2012,24,1,comm
2012,29,2,comm
2012,30,2,comm
2012,31,1,comm
2012,32,10,comm
2012,33,10,comm
2012,34,1,comm
2012,35,4,comm
2012,36,5,comm
2012,37,1,comm
2013,5,1,comm
2013,8,12,comm
2013,9,37,comm
2013,10,13,comm
2013,11,129,comm
2013,12,32,comm
2013,13,24,comm
2013,15,3,comm
2013,16,12,comm
2013,17,14,comm
2013,18,2,comm
2013,19,2,comm
2013,20,2,comm
2013,21,3,comm
2013,22,2,comm
2013,23,6,comm
2013,24,1,comm
2013,32,2,comm
2013,33,1,comm
2013,34,5,comm
2013,35,1,comm
2013,36,1,comm
2013,37,2,comm
2014,5,3,comm
2014,6,20,comm
2014,8,3,comm
2014,9,38,comm
2014,10,74,comm
2014,11,18,comm
2014,12,79,comm
2014,13,20,comm
2014,14,12,comm
2014,17,11,comm
2014,18,8,comm
2014,21,2,comm
2014,24,1,comm
2014,25,1,comm
2015,6,5,comm
2015,7,51,comm
2015,8,3,comm
2015,9,4,comm
2015,10,52,comm
2015,11,59,comm
2015,12,14,comm
2015,13,42,comm
2015,14,8,comm
2015,15,5,comm
2015,16,1,comm
2015,18,3,comm
2015,19,2,comm
2015,21,1,comm
2015,23,1,comm
2015,24,2,comm
2015,25,1,comm
2015,35,1,comm
2016,7,12,comm
2016,8,157,comm
2016,9,1,comm
2016,10,10,comm
2016,11,36,comm
2016,12,47,comm
2016,13,3,comm
2016,14,40,comm
2016,15,9,comm
2016,16,7,comm
2016,19,3,comm
2016,20,8,comm
2016,24,2,comm
2016,25,1,comm
2016,26,2,comm
2016,34,1,comm
2016,36,1,comm
2016,37,1,comm
2016,38,3,comm
2016,40,1,comm
1992,6,4,sport
1992,7,9,sport
1992,8,4,sport
1992,9,7,sport
1992,10,12,sport
1992,11,7,sport
1992,12,16,sport
1992,13,5,sport
1992,14,3,sport
1992,15,6,sport
1992,16,2,sport
1992,21,1,sport
1993,5,1,sport
1993,7,1,sport
1993,8,27,sport
1993,9,34,sport
1993,10,5,sport
1993,11,9,sport
1993,12,28,sport
1993,13,6,sport
1993,14,33,sport
1993,15,4,sport
1993,16,3,sport
1993,17,5,sport
1993,19,1,sport
1993,20,2,sport
1993,24,2,sport
1993,25,1,sport
1993,27,1,sport
1993,29,1,sport
1993,31,1,sport
1993,37,1,sport
1993,49,2,sport
1994,8,1,sport
1994,9,7,sport
1994,10,29,sport
1994,11,14,sport
1994,12,8,sport
1994,13,14,sport
1994,14,10,sport
1994,15,15,sport
1994,16,6,sport
1994,17,3,sport
1994,18,1,sport
1994,19,1,sport
1994,20,2,sport
1994,26,1,sport
1994,27,1,sport
1994,30,1,sport
1994,35,1,sport
1995,5,2,sport
1995,6,14,sport
1995,7,1,sport
1995,9,7,sport
1995,10,24,sport
1995,11,17,sport
1995,12,7,sport
1995,13,7,sport
1995,14,4,sport
1995,15,5,sport
1995,16,9,sport
1995,17,2,sport
1995,18,1,sport
1995,19,2,sport
1995,26,1,sport
1996,5,2,sport
1996,6,8,sport
1996,7,1,sport
1996,9,2,sport
1996,10,12,sport
1996,11,14,sport
1996,12,8,sport
1996,13,3,sport
1996,14,7,sport
1996,15,5,sport
1996,16,2,sport
1996,17,1,sport
1996,20,1,sport
1997,5,1,sport
1997,6,2,sport
1997,7,9,sport
1997,11,3,sport
1997,12,6,sport
1997,13,3,sport
1997,14,2,sport
1997,15,2,sport
1997,16,2,sport
1997,19,1,sport
1997,21,1,sport
1997,32,1,sport
1998,6,1,sport
1998,7,22,sport
1998,8,33,sport
1998,9,1,sport
1998,10,1,sport
1998,12,9,sport
1998,13,7,sport
1998,14,5,sport
1998,15,1,sport
1998,16,2,sport
1998,17,2,sport
1998,20,2,sport
1999,6,1,sport
1999,7,3,sport
1999,8,30,sport
1999,9,76,sport
1999,10,3,sport
1999,11,3,sport
1999,12,2,sport
1999,13,6,sport
1999,14,7,sport
1999,15,3,sport
1999,16,2,sport
1999,18,4,sport
1999,19,1,sport
1999,20,1,sport
1999,21,2,sport
1999,30,1,sport
2000,5,4,sport
2000,6,5,sport
2000,7,5,sport
2000,8,1,sport
2000,9,39,sport
2000,10,88,sport
2000,11,4,sport
2000,12,1,sport
2000,13,3,sport
2000,14,7,sport
2000,15,1,sport
2000,19,2,sport
2000,21,1,sport
2000,24,1,sport
2001,6,3,sport
2001,7,8,sport
2001,8,5,sport
2001,9,3,sport
2001,10,25,sport
2001,11,35,sport
2001,12,3,sport
2001,15,3,sport
2001,18,1,sport
2001,22,2,sport
2001,25,1,sport
2001,29,1,sport
2001,36,1,sport
2002,6,7,sport
2002,8,3,sport
2002,9,4,sport
2002,10,4,sport
2002,11,15,sport
2002,12,17,sport
2002,13,2,sport
2002,14,3,sport
2002,15,2,sport
2002,16,2,sport
2002,17,2,sport
2002,18,2,sport
2002,19,1,sport
2002,23,1,sport
2002,27,1,sport
2002,31,1,sport
2002,36,1,sport
2003,6,1,sport
2003,7,12,sport
2003,8,6,sport
2003,9,6,sport
2003,10,11,sport
2003,11,13,sport
2003,12,39,sport
2003,13,20,sport
2003,14,3,sport
2003,16,2,sport
2003,17,3,sport
2003,18,3,sport
2003,21,1,sport
2003,24,1,sport
2004,5,1,sport
2004,6,1,sport
2004,7,4,sport
2004,8,20,sport
2004,9,7,sport
2004,10,6,sport
2004,11,5,sport
2004,12,18,sport
2004,13,41,sport
2004,14,8,sport
2004,15,6,sport
2004,16,1,sport
2004,18,2,sport
2004,19,1,sport
2005,7,2,sport
2005,8,5,sport
2005,9,28,sport
2005,10,21,sport
2005,11,9,sport
2005,12,8,sport
2005,13,11,sport
2005,14,27,sport
2005,15,20,sport
2005,16,5,sport
2005,17,3,sport
2005,20,2,sport
2005,21,1,sport
2005,26,1,sport
2006,4,21,sport
2006,9,10,sport
2006,10,34,sport
2006,11,5,sport
2006,12,3,sport
2006,13,6,sport
2006,14,8,sport
2006,15,25,sport
2006,16,1,sport
2006,17,3,sport
2006,18,1,sport
2007,5,7,sport
2007,7,1,sport
2007,8,1,sport
2007,9,3,sport
2007,10,2,sport
2007,11,14,sport
2007,12,1,sport
2007,16,8,sport
2007,17,1,sport
2007,22,1,sport
2007,28,3,sport
2007,30,1,sport
2007,32,2,sport
2008,7,1,sport
2008,9,1,sport
2008,11,5,sport
2008,12,14,sport
2008,13,1,sport
2008,14,1,sport
2008,15,1,sport
2008,16,1,sport
2008,17,6,sport
2008,18,4,sport
2008,22,1,sport
2008,24,1,sport
2008,29,7,sport
2008,32,1,sport
2008,33,1,sport
2009,7,1,sport
2009,11,3,sport
2009,12,4,sport
2009,13,5,sport
2009,16,1,sport
2009,18,2,sport
2009,19,2,sport
2009,30,2,sport
2009,31,1,sport
2010,8,3,sport
2010,9,3,sport
2010,10,1,sport
2010,12,2,sport
2010,13,2,sport
2010,14,3,sport
2010,15,1,sport
2010,16,1,sport
2010,17,1,sport
2010,19,2,sport
2010,20,1,sport
2011,7,1,sport
2011,8,2,sport
2011,9,8,sport
2011,10,5,sport
2011,11,2,sport
2011,12,1,sport
2011,13,2,sport
2011,14,1,sport
2011,15,3,sport
2012,7,3,sport
2012,8,5,sport
2012,9,3,sport
2012,10,41,sport
2012,11,17,sport
2012,12,14,sport
2012,13,1,sport
2012,14,2,sport
2012,15,3,sport
2012,16,3,sport
2012,17,1,sport
2012,18,2,sport
2012,19,1,sport
2012,20,2,sport
2013,5,14,sport
2013,6,2,sport
2013,8,3,sport
2013,9,17,sport
2013,10,1,sport
2013,11,15,sport
2013,12,4,sport
2013,13,4,sport
2013,15,2,sport
2013,16,2,sport
2013,17,2,sport
2013,22,1,sport
2013,35,1,sport
2013,37,1,sport
2014,10,11,sport
2014,11,2,sport
2014,12,9,sport
2014,13,2,sport
2014,20,1,sport
2015,6,2,sport
2015,7,18,sport
2015,9,8,sport
2015,10,19,sport
2015,11,44,sport
2015,12,7,sport
2015,13,31,sport
2015,14,6,sport
2015,15,6,sport
2015,17,2,sport
2015,19,1,sport
2015,38,1,sport
2016,7,2,sport
2016,8,25,sport
2016,9,27,sport
2016,10,2,sport
2016,11,14,sport
2016,12,18,sport
2016,13,4,sport
2016,14,17,sport
2016,15,5,sport
2016,16,4,sport
2016,17,1,sport
2016,19,1,sport
2016,20,1,sport
2016,21,1,sport
2016,22,1,sport
2016,26,1,sport
2016,31,1,sport
2016,37,1,sport
